"participant","keep","condition","distribution","skew","generation","trajectory","converged","correct_mapping","produced_mapping","score","nbound","nbound_change","nlabel1","nlabel1_change","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","catsys","optu","optl","optr","optd","catchange"
"iR422840",1,"individual","right","yes",2,"s8247",FALSE,"0,0,1,1,1,1,1,0,1,1","0,0,1,1,1,1,1,1,0,1",8,3,0,3,0,0,0,1,1,1,1,1,1,0,1,"0011111101",2,4,3,3,2
"iR929085",1,"individual","right","yes",1,"s5092",FALSE,"0,0,1,0,1,1,0,1,0,1","0,0,0,0,0,1,1,1,1,1",6,1,-6,5,0,0,0,0,0,0,1,1,1,1,1,"0000011111",0,3,3,3,4
"iL629593",1,"individual","left","yes",1,"s8871",FALSE,"1,0,0,1,0,1,0,0,1,1","1,0,0,0,0,0,0,1,0,1",6,4,-2,3,-2,0,1,1,1,1,1,1,0,1,0,"0111111010",2,2,0,2,6
"iU467220",1,"individual","uniform","no",1,"s2717",FALSE,"0,0,1,0,1,1,1,1,0,0","0,0,0,0,1,1,1,1,1,0",8,2,-2,5,0,0,0,0,0,1,1,1,1,1,0,"0000111110",0,8,2,0,2
"cR909655",1,"culture","right","yes",1,"s2200",FALSE,"1,1,1,1,0,0,0,0,0,1","1,1,1,0,0,0,0,0,0,1",9,2,0,4,-1,1,1,1,0,0,0,0,0,0,1,"1110000001",1,3,7,7,1
"iL242076",0,"individual","left","yes",3,"s9394",FALSE,"0,0,1,0,0,0,1,1,0,1","0,0,1,1,0,0,1,1,0,1",9,5,0,5,-1,0,0,1,1,0,0,1,1,0,1,"0011001101",0,4,1,4,1
"iR593756",1,"individual","right","yes",1,"s1423",FALSE,"1,1,1,0,1,0,0,1,0,0","1,1,1,1,1,1,1,0,0,0",6,1,-4,7,2,0,0,0,0,0,0,0,1,1,1,"0000000111",2,5,1,1,6
"iL920392",1,"individual","left","yes",3,"s8775",FALSE,"1,1,1,1,0,0,0,0,0,0","1,1,1,1,1,1,1,0,0,0",7,1,0,7,3,0,0,0,0,0,0,0,1,1,1,"0000000111",2,5,1,5,3
"iR518727",1,"individual","right","yes",3,"s3651",FALSE,"1,1,1,1,0,0,0,0,1,1","1,1,1,1,1,0,0,0,1,1",9,2,0,7,1,0,0,0,0,0,1,1,1,0,0,"0000011100",2,6,2,2,1
"iR761380",1,"individual","right","yes",1,"s4057",FALSE,"0,1,1,0,1,0,1,0,0,1","0,0,0,1,0,0,0,0,0,1",5,3,-4,8,3,0,0,0,1,0,0,0,0,0,1,"0001000001",3,4,2,2,5
"iU366691",1,"individual","uniform","no",4,"s6345",FALSE,"1,1,0,1,1,0,0,0,0,0","1,0,1,1,1,0,0,0,1,0",7,5,2,5,1,0,1,0,0,0,1,1,1,0,1,"0100011101",0,3,3,0,3
"iU744454",1,"individual","uniform","no",3,"s8897",FALSE,"1,1,1,1,1,0,0,0,0,0","1,1,1,1,1,1,0,0,0,0",9,1,0,6,1,0,0,0,0,0,0,1,1,1,1,"0000001111",1,4,2,1,1
"iU838884",1,"individual","uniform","no",2,"s5759",FALSE,"0,0,0,0,1,1,1,1,1,1","0,0,0,1,1,1,1,1,1,1",9,1,0,3,-1,0,0,0,1,1,1,1,1,1,1,"0001111111",2,1,5,2,1
"iR643497",0,"individual","right","yes",3,"s1123",FALSE,"0,0,0,0,1,0,1,0,1,1","1,0,1,0,1,0,0,0,1,0",6,7,2,4,-2,1,0,1,0,1,0,0,0,1,0,"1010100010",1,6,8,8,4
