"participant","keep","condition","distribution","skew","generation","trajectory","converged","correct_mapping","produced_mapping","score","nbound","nbound_change","nlabel1","nlabel1_change"
"iL308010",0,"individual","left","yes",4,"s1832",FALSE,"0,1,1,0,1,0,1,0,0,0","0,0,1,1,0,1,0,0,0,0",5,4,-2,7,1
"cL861236",0,"culture","left","yes",2,"s4200",FALSE,"0,1,1,0,1,0,0,0,1,0","0,1,1,1,1,1,0,0,0,0",7,2,-4,5,-1
"cL392754",0,"culture","left","yes",4,"s4200",FALSE,"0,1,1,1,1,1,1,0,1,0","1,1,1,0,1,1,1,1,1,0",7,3,-1,8,5
"cU312918",0,"culture","uniform","no",6,"s900",FALSE,"0,0,0,0,0,0,1,1,1,1","0,0,0,0,1,0,0,1,1,1",8,3,2,6,0
"cL597799",0,"culture","left","yes",5,"s4200",FALSE,"1,1,1,0,1,1,1,1,1,0","1,1,1,0,0,1,1,0,0,0",7,3,0,5,-3
"cL258544",0,"culture","left","yes",7,"s3700",FALSE,"1,1,1,0,0,0,0,0,0,0","1,1,0,1,0,0,0,0,0,0",8,3,2,3,0
"cU236329",0,"culture","uniform","no",9,"s900",FALSE,"0,0,0,0,0,1,1,1,1,1","0,0,0,0,0,0,1,1,1,1",9,1,0,6,1
"iL242076",0,"individual","left","yes",3,"s9394",FALSE,"0,0,1,0,0,0,1,1,0,1","0,0,1,1,0,0,1,1,0,1",9,5,0,5,-1
"iR643497",0,"individual","right","yes",3,"s1123",FALSE,"0,0,0,0,1,0,1,0,1,1","1,0,1,0,1,0,0,0,1,0",6,7,2,4,-2
"iR415143",0,"individual","right","yes",6,"s6813",FALSE,"0,0,0,0,1,1,0,1,1,1","0,0,0,0,0,0,1,1,1,1",7,1,-2,6,1
"iR643497",0,"individual","right","yes",4,"s1123",FALSE,"1,0,1,0,1,0,0,0,1,0","1,1,1,0,1,0,1,0,1,0",8,7,0,6,2
"iR372838",0,"individual","right","yes",2,"s5335",FALSE,"0,0,0,0,0,1,1,1,1,1","1,0,1,1,1,0,1,1,1,1",5,4,3,8,3
"cL512176",0,"culture","left","yes",1,"s3700",FALSE,"0,1,1,1,1,1,0,0,0,0","0,1,1,1,1,1,1,1,0,0",8,2,0,3,-2
"iL373860",0,"individual","left","yes",1,"s9879",FALSE,"0,1,0,1,0,1,1,0,1,0","0,0,1,1,1,1,0,1,0,0",4,4,-4,5,0
"iU308968",0,"individual","uniform","no",6,"s2643",FALSE,"1,1,1,1,0,1,0,0,0,1","1,1,1,0,0,0,0,0,0,1",8,2,-2,4,-2
"iR415143",0,"individual","right","yes",2,"s6813",FALSE,"0,0,0,0,0,1,1,1,1,1","0,0,0,0,0,1,0,1,1,1",9,3,2,6,1
"iR432012",0,"individual","right","yes",8,"s4870",FALSE,"0,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1,1,1,1,0",8,4,0,3,0
"iL308010",0,"individual","left","yes",7,"s1832",FALSE,"0,1,1,1,0,0,0,0,0,0","0,1,1,1,1,0,0,0,0,0",9,2,0,6,-1
"iL373860",0,"individual","left","yes",2,"s9879",FALSE,"0,0,1,1,1,1,0,1,0,0","0,1,0,0,0,1,0,1,1,0",5,6,2,6,1
"iU338909",0,"individual","uniform","no",4,"s3713",FALSE,"1,0,1,0,0,1,1,1,1,1","1,0,0,0,1,0,0,1,1,1",6,4,0,5,-2
"iR372838",0,"individual","right","yes",6,"s5335",FALSE,"0,1,0,0,0,1,1,1,1,1","1,1,0,0,0,1,1,1,1,1",9,2,-1,7,3
"iR432012",0,"individual","right","yes",4,"s4870",FALSE,"0,1,1,0,0,0,1,1,0,0","0,1,1,1,0,0,1,1,1,0",8,4,0,4,-2
"iR372838",0,"individual","right","yes",7,"s5335",FALSE,"1,1,0,0,0,1,1,1,1,1","1,0,0,0,0,0,1,1,1,1",8,2,0,5,-2
"cL387531",0,"culture","left","yes",2,"s3700",FALSE,"0,1,1,1,1,1,1,1,0,0","0,1,1,1,1,1,1,0,0,0",9,2,0,4,1
"iR763032",0,"individual","right","yes",7,"s5139",FALSE,"1,0,1,1,1,0,1,1,1,0","1,0,1,0,1,1,1,1,1,0",8,5,0,7,0
"iR925144",0,"individual","right","yes",5,"s3416",FALSE,"1,0,0,1,0,1,1,1,0,0","1,1,0,1,1,0,1,0,0,0",6,5,0,5,0
"cL439356",0,"culture","left","yes",2,"s4400",FALSE,"1,1,0,0,0,0,0,1,1,1","1,1,0,0,0,0,0,0,1,1",9,2,0,4,-1
"iR925144",0,"individual","right","yes",8,"s3416",FALSE,"1,0,1,1,0,0,1,0,0,0","1,0,1,0,0,1,0,0,0,0",7,5,0,3,-1
"cL226361",0,"culture","left","yes",3,"s3700",FALSE,"0,1,1,1,1,1,1,0,0,0","0,1,1,1,1,1,0,0,0,0",9,2,0,5,1
"cU204424",0,"culture","uniform","no",5,"s1200",FALSE,"1,0,1,0,1,0,1,1,0,1","1,0,1,0,1,0,1,1,0,0",9,7,-1,5,-1
"iL242076",0,"individual","left","yes",2,"s9394",FALSE,"0,0,1,1,0,1,1,0,0,1","0,0,1,0,0,0,1,1,0,1",7,5,0,6,1
"iL242076",0,"individual","left","yes",5,"s9394",FALSE,"0,0,1,1,0,0,0,1,0,1","0,0,0,1,0,0,0,1,0,1",9,5,0,7,1
"cL391286",0,"culture","left","yes",4,"s4400",FALSE,"1,1,0,0,0,0,0,1,1,1","1,1,0,0,0,0,0,0,1,1",9,2,0,4,-1
"cL995579",0,"culture","left","yes",4,"s3700",FALSE,"0,1,1,1,1,1,0,0,0,0","0,1,1,1,1,1,1,0,0,0",9,2,0,4,-1
